NDVI,NDRE,GNDVI,Serapan_K
0.2548,0.1371,0.2589,15.27
0.6001,0.4968,0.58,31.61
0.3231,0.3436,0.3186,22.58
0.6544,0.5641,0.5963,35.63
0.95,0.8287,0.95,57.93
0.1935,0.1077,0.1879,13.91
0.5227,0.516,0.3872,26.61
0.5146,0.4244,0.4967,32.44
0.3376,0.2398,0.2998,19.65
0.4255,0.3926,0.3982,31.43
0.5944,0.4762,0.5616,34.9
0.4807,0.3843,0.3675,25.35
0.6335,0.4952,0.5946,41.26
0.4997,0.6235,0.3261,34.29
0.2135,0.2025,0.1979,17.84
0.1169,0.1,0.1,13.62
0.4313,0.4229,0.3971,24.4
0.4244,0.4252,0.3994,33.54
0.267,0.2452,0.2843,20.25
0.6676,0.5322,0.6415,30.58
0.4073,0.4661,0.3568,31.37
0.5361,0.4187,0.4396,27.21
0.2105,0.211,0.2317,23.01
0.7198,0.5953,0.6714,39.67
0.95,0.9359,0.95,59.91
0.4869,0.3959,0.3929,25.91
0.4588,0.3978,0.4558,26.14
0.3901,0.29,0.2899,26.34
0.8109,0.7223,0.7875,41.22
0.4242,0.418,0.412,32.22
0.5593,0.467,0.4658,39.13
0.3068,0.275,0.326,20.93
0.8978,0.7461,0.7405,48.16
0.5211,0.3914,0.4896,36.0
0.95,0.95,0.8182,57.39
0.5691,0.4941,0.5108,36.91
0.4286,0.2916,0.3943,21.62
0.5244,0.4046,0.5181,34.77
0.6132,0.588,0.43,37.9
0.5425,0.5528,0.4473,37.64
0.4349,0.378,0.4372,31.48
0.5654,0.4582,0.5361,29.29
0.4772,0.4984,0.3722,26.76
0.6886,0.5841,0.6816,32.04
0.4685,0.3631,0.4805,31.94
0.7647,0.6398,0.8129,47.72
0.826,0.6924,0.8595,50.8
0.8878,0.7642,0.9022,51.5
0.6689,0.4448,0.5196,38.87
0.8696,0.7344,0.7901,48.48
0.2741,0.3518,0.2405,25.88
0.5637,0.5179,0.4825,33.7
0.7486,0.8023,0.5706,45.79
0.2839,0.2309,0.2832,18.54
0.5174,0.4351,0.4628,28.02
0.6761,0.605,0.7051,45.84
0.6471,0.5988,0.5784,41.63
0.1788,0.1729,0.1869,14.28
0.1,0.1,0.1,12.03
0.7391,0.6353,0.6987,40.85
0.7099,0.5649,0.7018,42.65
0.469,0.4371,0.3627,32.8
0.8721,0.7465,0.7944,49.04
0.2743,0.2982,0.3036,27.07
0.7376,0.6504,0.7931,43.7
0.6646,0.5933,0.5706,34.65
0.4584,0.4106,0.4138,25.92
0.2786,0.2488,0.2911,20.32
0.7485,0.6832,0.7239,38.96
0.6797,0.5615,0.6224,31.6
0.3993,0.3557,0.3817,26.97
0.1053,0.1392,0.1,17.43
0.4671,0.2715,0.4904,22.89
0.5029,0.4218,0.4752,34.06
0.2136,0.2257,0.1911,22.09
0.6911,0.6378,0.6235,33.5
0.9293,0.8042,0.8785,46.46
0.7201,0.5703,0.7028,41.31
0.95,0.7804,0.8002,51.79
0.95,0.8697,0.8173,59.95
0.7541,0.6621,0.686,44.76
0.95,0.8719,0.95,56.73
0.4349,0.4722,0.399,33.66
0.752,0.6341,0.7278,45.56
0.8774,0.7411,0.8163,42.52
0.7926,0.7711,0.8544,46.44
0.6386,0.5501,0.6515,40.68
0.8091,0.6971,0.6131,47.99
0.492,0.4526,0.4264,32.11
0.5845,0.475,0.5391,35.42
0.3771,0.3231,0.3648,22.74
0.4885,0.3578,0.4855,26.5
0.6288,0.4467,0.6264,33.22
0.3372,0.2493,0.3276,19.91
0.3008,0.2593,0.2896,18.51
0.7217,0.5983,0.7782,47.3
0.3008,0.2779,0.2584,20.32
0.95,0.8163,0.7983,55.48
0.4542,0.2825,0.4012,24.15
0.3421,0.3382,0.3016,23.61
0.1037,0.1,0.1,16.07
0.5759,0.4716,0.553,31.9
0.95,0.8051,0.9286,48.67
0.4696,0.4024,0.4515,33.25
0.5182,0.4036,0.48,29.37
0.6501,0.5753,0.6373,36.96
0.7259,0.6671,0.6724,40.26
0.3101,0.2584,0.3056,18.94
0.6151,0.4483,0.5914,32.63
0.7894,0.6171,0.8412,50.22
0.723,0.6169,0.6889,37.64
0.5923,0.5091,0.5772,37.4
0.9092,0.7865,0.9154,48.62
0.7527,0.6283,0.6536,43.91
0.7197,0.5991,0.6346,41.29
0.3707,0.3161,0.3479,21.96
0.4783,0.4214,0.3489,25.17
0.5428,0.4709,0.5097,29.26
0.2341,0.102,0.1164,13.02
0.95,0.7476,0.8594,52.29
0.6076,0.4319,0.5232,30.4
0.5285,0.4807,0.4835,30.39
0.6889,0.493,0.5007,28.57
0.1,0.1056,0.1,10.85
0.1,0.1,0.1,9.95
0.1,0.1,0.1,11.87
0.95,0.7979,0.8429,53.72
0.7959,0.7054,0.7324,50.34
0.2452,0.2215,0.1933,22.74
0.7438,0.7554,0.643,47.55
0.3019,0.2162,0.2412,18.89
0.8688,0.8761,0.7169,52.27
0.696,0.614,0.4948,31.01
0.8893,0.763,0.8538,50.0
0.343,0.269,0.2224,19.86
0.95,0.7696,0.9279,58.75
0.4995,0.4983,0.4788,33.55
0.5198,0.4337,0.5157,27.39
0.6164,0.4577,0.5245,36.88
0.3737,0.2558,0.337,20.27
0.6734,0.6556,0.5929,36.25
0.1,0.1,0.1,7.09
0.6274,0.5144,0.5869,38.36
0.95,0.8235,0.95,53.47
0.95,0.8517,0.8563,57.09
0.95,0.8972,0.95,53.52
0.5471,0.4567,0.5422,29.98
0.6136,0.6231,0.5331,39.56
0.1969,0.2067,0.1828,21.75
0.9186,0.7727,0.8604,45.33
0.95,0.9184,0.9345,58.22
0.6411,0.503,0.5564,39.28
0.7924,0.6687,0.7257,46.32
0.7063,0.5141,0.7703,42.34
0.718,0.5819,0.5859,35.21
0.1861,0.1422,0.1701,14.84
0.2369,0.1716,0.2429,16.47
0.6501,0.5211,0.6224,35.78
0.95,0.8305,0.9303,51.67
0.3495,0.3603,0.314,28.7
0.2024,0.1819,0.2025,16.35
0.5525,0.4534,0.5316,34.61
0.5253,0.4975,0.5125,37.2
0.1666,0.1732,0.169,16.49
0.7807,0.6939,0.7249,43.39
0.2566,0.3278,0.3268,24.99
0.95,0.8421,0.95,53.49
0.8469,0.5935,0.8252,49.94
0.1,0.1,0.1,10.19
0.5159,0.3977,0.4651,33.02
0.5286,0.4453,0.5227,36.69
0.1,0.1,0.1,9.4
0.95,0.878,0.95,60.0
0.5572,0.4654,0.5035,38.53
0.3484,0.2947,0.3374,22.23
0.2032,0.1905,0.1893,16.94
0.3663,0.2135,0.2866,24.57
0.4869,0.4879,0.412,26.66
0.6466,0.5055,0.6305,32.87
0.687,0.5636,0.5319,35.13
0.6729,0.4967,0.6289,41.16
0.7112,0.6134,0.6552,36.17
0.7278,0.6537,0.7847,45.61
0.6687,0.5849,0.6107,40.63
0.3788,0.2939,0.3301,22.39
0.1301,0.3553,0.1921,21.99
0.316,0.2397,0.3207,20.75
0.8317,0.6756,0.828,50.67
0.5812,0.5787,0.3994,31.97
0.7145,0.5759,0.6487,34.51
0.4738,0.4235,0.3978,26.46
0.703,0.5987,0.7044,32.21
0.9335,0.822,0.8867,47.52
0.8226,0.6552,0.6867,35.05
0.6932,0.6046,0.6576,42.5
0.4299,0.3851,0.4121,22.53
0.9095,0.6082,0.7075,42.96
0.6562,0.5264,0.5808,38.46
0.7751,0.7,0.7549,48.69
0.339,0.3425,0.3147,21.37
0.6402,0.5478,0.5878,33.84
0.5548,0.4715,0.5265,35.34
0.8019,0.6025,0.8579,49.09
0.87,0.7117,0.7485,46.33
0.5578,0.4586,0.4252,27.55
0.8263,0.6798,0.8032,43.38
0.8456,0.6379,0.6747,41.37
0.4448,0.5384,0.3345,34.4
0.95,0.8597,0.8819,55.3
0.2469,0.204,0.2285,19.87
0.2687,0.2198,0.2783,21.68
0.5123,0.3777,0.4254,25.75
0.7746,0.7012,0.7867,49.74
0.6841,0.6008,0.6514,41.56
0.5068,0.4365,0.3771,34.34
0.4716,0.2686,0.4078,31.37
0.6595,0.5575,0.6043,42.58
0.3437,0.2358,0.2508,19.13
0.6612,0.5517,0.6243,40.34
0.7574,0.5041,0.7301,32.69
0.3345,0.3126,0.3086,26.8
0.5227,0.4742,0.5229,29.04
0.7988,0.7136,0.7689,42.23
0.4415,0.3549,0.3911,31.78
0.4685,0.3263,0.4041,23.92
0.7723,0.6518,0.7,43.98
0.5135,0.4035,0.4393,35.75
0.1412,0.1046,0.1,9.03
0.7852,0.6989,0.7014,42.11
0.95,0.8838,0.95,54.17
0.6423,0.5787,0.6164,34.61
0.1927,0.1995,0.1653,17.53
0.2398,0.2101,0.2917,17.68
0.4876,0.5262,0.4804,35.63
0.6719,0.5001,0.5606,31.05
0.3102,0.3561,0.2019,17.91
0.3329,0.2791,0.3737,28.98
0.8039,0.7025,0.823,49.75
0.471,0.3679,0.5177,28.83
0.6839,0.5072,0.6276,32.93
0.3806,0.3339,0.3602,28.61
0.5873,0.4839,0.4955,33.21
0.95,0.95,0.95,60.0
0.1687,0.1091,0.164,13.95
0.8183,0.657,0.6882,50.99
0.3632,0.3445,0.3476,28.64
0.7179,0.5287,0.6178,36.59
0.613,0.5442,0.5949,38.58
0.8138,0.6994,0.7875,39.63
0.2641,0.1551,0.2088,15.6
0.5042,0.4093,0.4232,25.13
0.5853,0.5025,0.5029,30.96
0.1154,0.1325,0.1,14.24
0.9048,0.7718,0.8791,51.76
0.2697,0.2424,0.2508,16.51
0.95,0.6038,0.9008,50.47
0.6284,0.5343,0.5864,37.51
0.8281,0.719,0.6563,47.63
0.9091,0.7285,0.8842,44.93
0.8194,0.6639,0.7779,46.76
0.3689,0.2802,0.3607,22.31
0.6937,0.5868,0.6611,33.71
0.3989,0.2508,0.2417,19.55
0.7691,0.6474,0.7425,47.23
0.5627,0.4887,0.4881,37.78
0.5879,0.4962,0.6048,37.89
0.5821,0.4906,0.5464,38.25
0.8688,0.7691,0.7919,50.8
0.6178,0.5595,0.5671,33.34
0.3495,0.1953,0.3063,20.36
0.598,0.511,0.4859,32.75
0.7429,0.6022,0.6703,47.89
0.5266,0.4565,0.4635,30.25
0.4358,0.4088,0.4283,32.69
0.3906,0.3359,0.3153,22.24
0.95,0.7742,0.8738,50.44
0.6705,0.4677,0.6767,29.42
0.95,0.9011,0.9466,54.33
0.4899,0.3829,0.3522,31.71
0.1,0.1,0.1,8.98
0.6881,0.6053,0.6674,43.2
0.7159,0.6051,0.6569,42.52
0.4875,0.372,0.4172,23.69
0.4108,0.3523,0.398,23.33
0.4343,0.4763,0.2542,31.76
0.4979,0.3869,0.4986,33.05
0.8751,0.6846,0.7846,48.09
0.2665,0.1997,0.2498,17.6
0.6995,0.6351,0.656,41.17
0.3576,0.3102,0.4355,28.54
0.8294,0.6444,0.7952,42.79
0.8345,0.6822,0.7969,45.29
0.4544,0.4581,0.4898,33.48
0.95,0.907,0.95,57.17
0.5239,0.4225,0.5068,24.44
0.6824,0.5959,0.6614,36.85
0.95,0.9215,0.9126,60.0
0.6554,0.557,0.5995,36.14
0.6743,0.5022,0.5613,31.83
0.434,0.4464,0.4575,33.79
0.6921,0.5321,0.6405,41.11
0.2463,0.1739,0.2051,21.61
0.4787,0.3673,0.4626,32.72
0.1411,0.1,0.1972,18.5
0.1411,0.1498,0.1377,14.31
0.2711,0.2609,0.2815,19.82
0.1805,0.1762,0.1564,16.61
0.9305,0.8242,0.903,50.6
0.4159,0.3319,0.3645,28.73
0.5835,0.4742,0.4365,27.83
0.7704,0.6132,0.7314,43.13
0.7118,0.5716,0.6712,42.64
0.1,0.1,0.1294,14.35
0.8717,0.8652,0.7151,51.02
0.4128,0.3664,0.3745,24.59
0.4302,0.3372,0.348,20.9
0.429,0.2923,0.4235,30.63
0.7095,0.6082,0.5904,31.48
0.7185,0.532,0.6063,28.45
0.95,0.8796,0.95,60.0
0.95,0.8694,0.95,51.61
0.3382,0.2578,0.291,21.11
0.7015,0.6063,0.7075,41.55
0.5159,0.399,0.4898,26.71
0.7239,0.4974,0.6327,38.47
0.6495,0.4785,0.5985,41.47
0.8695,0.7386,0.8205,55.51
0.9303,0.7289,0.708,49.57
0.5954,0.5337,0.579,36.12
0.4956,0.5335,0.4098,36.62
0.3295,0.2587,0.27,18.07
0.9294,0.6806,0.7339,50.62
0.5023,0.3851,0.3864,33.51
0.7773,0.6496,0.7542,41.96
0.5312,0.4585,0.509,29.0
0.9052,0.7685,0.8683,49.64
0.813,0.7192,0.7741,41.6
0.7368,0.6275,0.6892,39.41
0.6559,0.6117,0.3927,35.43
0.6194,0.6388,0.4618,32.47
0.7961,0.6605,0.7529,40.92
0.9415,0.7989,0.95,56.61
0.1,0.1,0.1318,13.18
0.6341,0.4876,0.6529,42.88
0.3844,0.3249,0.3286,22.16
0.7853,0.6019,0.7828,33.96
0.3679,0.3319,0.3897,21.19
0.95,0.95,0.8726,59.45
0.3458,0.3482,0.3322,26.72
0.5376,0.4257,0.5985,34.0
0.8756,0.7129,0.8138,46.69
0.5471,0.4406,0.6086,31.41
0.2692,0.2945,0.2874,20.76
0.4154,0.3274,0.3736,21.97
0.7571,0.6496,0.7554,41.75
0.6103,0.4754,0.5881,33.15
0.8461,0.8536,0.7984,45.0
0.4749,0.3751,0.4027,27.43
0.51,0.3791,0.4811,31.95
0.52,0.4703,0.4069,34.09
0.8828,0.5993,0.7305,45.96
0.8044,0.8333,0.7144,49.73
0.95,0.7713,0.7832,59.58
0.4508,0.3537,0.3981,30.96
0.1109,0.1481,0.1209,14.46
0.7982,0.712,0.7595,48.71
0.8574,0.7133,0.7957,43.5
0.1463,0.1421,0.1017,12.79
0.2294,0.2428,0.1,22.13
0.3792,0.2322,0.2588,19.23
0.6695,0.5596,0.5502,33.75
0.1,0.1,0.1,11.51
0.1953,0.2115,0.2051,22.74
0.4209,0.2842,0.3399,20.48
0.6148,0.4835,0.5552,43.93
0.95,0.8696,0.9175,48.48
0.5462,0.4475,0.5475,35.79
0.7122,0.5514,0.6055,33.14
0.6809,0.6025,0.6426,33.13
0.4796,0.432,0.4006,25.7
0.1514,0.1,0.1305,12.41
0.7311,0.6499,0.7267,42.24
0.7684,0.7014,0.6393,44.81
0.95,0.7888,0.9224,60.0
0.6226,0.4749,0.5692,39.77
0.4184,0.2765,0.3036,20.79
0.95,0.95,0.9352,60.0
0.5721,0.4808,0.536,35.84
0.7656,0.6608,0.5987,37.38
0.1761,0.2134,0.1734,21.22
0.3778,0.3367,0.2737,21.13
0.4461,0.4135,0.3853,30.62
0.5681,0.4995,0.4787,27.47
0.2972,0.2654,0.2848,20.58
0.95,0.9115,0.95,60.0
0.2985,0.301,0.2689,24.95
0.472,0.4442,0.4091,25.09
0.6691,0.6752,0.6499,43.09
0.4553,0.4848,0.3568,26.07
0.2073,0.3074,0.1494,21.59
0.4927,0.3993,0.4441,27.65
0.1,0.1,0.1,14.06
0.6637,0.6466,0.5487,39.88
0.95,0.7505,0.8318,57.15
0.606,0.5659,0.6815,31.84
0.5217,0.4961,0.4913,32.71
0.553,0.3856,0.5543,37.16
0.4965,0.3953,0.4697,32.77
0.767,0.6441,0.7304,39.68
0.5591,0.3354,0.5305,23.73
0.6333,0.5883,0.5766,42.08
0.6922,0.5785,0.6382,42.76
0.5634,0.4549,0.5359,34.78
0.95,0.7946,0.9286,60.0
0.5053,0.4107,0.4736,27.85
0.2933,0.2186,0.2355,16.43
0.868,0.7287,0.823,48.36
0.5366,0.4234,0.4724,34.63
0.7185,0.5674,0.6013,40.87
0.4568,0.4456,0.5164,28.28
0.6082,0.4739,0.5222,38.4
0.5448,0.5341,0.55,28.85
0.9321,0.8553,0.7644,53.61
0.5704,0.5021,0.4861,30.01
0.9164,0.9119,0.8625,56.72
0.7627,0.6827,0.6457,37.28
0.458,0.3397,0.4203,30.33
0.1877,0.2101,0.1779,18.45
0.5319,0.417,0.4661,33.56
0.7618,0.6434,0.7311,35.75
0.95,0.927,0.7901,60.0
0.5416,0.4417,0.5073,38.23
0.4487,0.3846,0.2991,32.45
0.3394,0.3299,0.3071,27.54
0.4383,0.3446,0.3725,23.77
0.95,0.7536,0.8811,54.37
0.2022,0.1621,0.1938,14.32
0.8763,0.7255,0.8604,44.0
0.95,0.8331,0.9189,46.94
0.9127,0.6205,0.7966,48.19
0.5122,0.4289,0.5076,35.2
0.7331,0.5608,0.7448,45.89
0.4113,0.4178,0.3902,32.5
0.68,0.5867,0.6609,42.28
0.3363,0.3643,0.3723,29.21
0.3015,0.2925,0.2673,20.49
0.3557,0.3043,0.2587,20.35
0.95,0.8884,0.95,60.0
0.82,0.6784,0.7436,40.69
0.5498,0.499,0.486,34.24
0.7132,0.6411,0.6688,44.31
0.95,0.8182,0.8839,58.25
0.6788,0.7055,0.5692,44.26
0.3268,0.4055,0.3077,29.02
0.95,0.7602,0.95,56.11
0.4258,0.3184,0.2707,27.33
0.7411,0.7877,0.7203,49.39
0.5313,0.4616,0.4969,34.24
0.9004,0.8073,0.8606,47.35
0.5104,0.4112,0.4575,25.93
0.6923,0.6248,0.578,40.47
0.6838,0.5003,0.6116,40.65
0.1378,0.1432,0.1095,12.48
0.95,0.802,0.9096,48.51
0.341,0.2849,0.3012,20.53
0.4431,0.3467,0.4168,23.93
0.2229,0.2231,0.1868,21.64
0.7288,0.6433,0.7202,38.7
0.9069,0.7823,0.7896,58.49
0.3726,0.2896,0.3476,21.21
0.7881,0.6759,0.7595,42.9
0.95,0.95,0.95,60.0
0.1375,0.163,0.1,18.27
0.8434,0.7627,0.7723,45.05
0.9287,0.719,0.8143,53.83
0.95,0.95,0.95,60.0
0.4984,0.4721,0.4403,33.28
0.5762,0.4287,0.4916,35.76
0.7292,0.5162,0.5238,34.66
0.8044,0.6517,0.8088,52.91
0.95,0.7978,0.95,58.09
0.3108,0.4152,0.2753,26.93
0.8424,0.7317,0.9292,54.3
0.3138,0.3491,0.2893,27.18
0.95,0.8469,0.95,60.0
0.2342,0.2362,0.2009,21.84
0.948,0.7339,0.8015,48.51
0.5034,0.4156,0.4728,32.68
0.6456,0.5129,0.5752,33.79
0.4455,0.3166,0.4035,22.29
0.3137,0.2105,0.2624,18.09
0.95,0.834,0.9265,52.64
0.7178,0.624,0.6795,44.32
0.6786,0.444,0.5285,31.67
0.6298,0.5771,0.6429,34.58
0.5418,0.5095,0.5355,31.71
0.4678,0.5036,0.4236,33.95
0.1,0.1,0.1,10.77
0.3764,0.3533,0.2307,29.22
0.4773,0.5137,0.403,29.67
0.548,0.4113,0.5206,35.73
0.4054,0.3096,0.3368,22.54
0.7025,0.7082,0.6124,37.25
0.1447,0.1134,0.1755,11.86
0.3019,0.2492,0.2718,21.29
0.7167,0.6947,0.6482,37.05
0.4351,0.2581,0.3533,28.48
0.5629,0.4268,0.4997,30.18
0.5711,0.4362,0.5205,29.56
0.6779,0.5917,0.6146,34.92
0.3104,0.2391,0.2723,18.19
0.95,0.95,0.9408,56.9
0.6368,0.412,0.5605,28.22
0.5869,0.5451,0.6064,41.34
0.9407,0.8127,0.9195,41.79
0.4249,0.3656,0.4011,27.79
0.4724,0.3354,0.4743,30.18
0.2537,0.3143,0.1856,25.23
0.1536,0.1887,0.2584,19.88
0.2946,0.2129,0.2785,18.14
0.7282,0.5981,0.6617,44.18
0.6357,0.4992,0.5632,32.4
0.6431,0.4737,0.5842,33.75
0.95,0.8687,0.95,56.38
0.7047,0.5653,0.6661,44.9
0.6238,0.5234,0.481,35.72
0.9204,0.7454,0.7112,53.15
0.5194,0.4356,0.4149,27.66
0.4234,0.3509,0.3862,23.55
0.5902,0.5092,0.6302,42.72
0.9248,0.8479,0.867,51.93
0.7505,0.6281,0.7351,44.04
0.5305,0.4418,0.5007,28.09
0.6656,0.6433,0.6198,43.02
0.5141,0.3712,0.5054,31.39
0.2006,0.1273,0.1781,13.36
0.7997,0.6444,0.7476,42.34
0.6009,0.5078,0.4642,28.27
0.4211,0.3091,0.3013,21.2
0.5667,0.4443,0.4976,33.6
0.7919,0.7117,0.7668,45.63
0.6695,0.619,0.6166,34.47
0.95,0.8147,0.8028,53.44
0.4225,0.3037,0.4055,27.91
0.5267,0.488,0.4525,36.63
0.9418,0.7852,0.877,52.48
0.7276,0.6404,0.5737,42.61
0.334,0.2522,0.3304,26.45
0.6026,0.631,0.5394,33.51
0.7777,0.6779,0.7664,50.6
0.1,0.1363,0.1,13.21
0.6226,0.5523,0.5588,27.6
0.2351,0.2274,0.2335,17.85
0.8351,0.7027,0.7383,36.06
0.3986,0.2833,0.3941,30.54
0.95,0.833,0.95,47.4
0.95,0.819,0.8424,54.47
0.8538,0.7136,0.807,41.44
0.8129,0.6712,0.7623,41.75
0.5696,0.4365,0.5597,29.8
0.5281,0.4709,0.4995,34.05
0.3958,0.3667,0.3479,25.34
0.5171,0.358,0.435,33.36
0.5462,0.5169,0.5203,36.02
0.8142,0.6619,0.7671,46.98
0.6531,0.5604,0.5949,42.57
0.721,0.5742,0.6342,35.99
0.1,0.1,0.1,11.64
0.6267,0.4959,0.4981,42.33
0.763,0.6769,0.7072,45.23
0.95,0.5735,0.8614,46.7
0.9076,0.6303,0.8305,42.38
0.7845,0.6351,0.6691,41.32
0.8286,0.6871,0.7695,44.39
0.7536,0.6676,0.7022,38.87
0.851,0.703,0.8046,41.59
0.2351,0.3001,0.2498,25.24
0.7565,0.6941,0.7542,40.49
0.7461,0.7503,0.7033,49.17
0.302,0.2412,0.328,18.37
0.5507,0.3621,0.4493,35.6
0.672,0.5007,0.6355,40.18
0.4224,0.2953,0.4519,23.2
0.6823,0.602,0.6613,36.36
0.95,0.9373,0.95,56.16
0.5325,0.4353,0.5119,26.31
0.4595,0.3728,0.4387,30.88
0.7764,0.6067,0.8349,50.31
0.4434,0.2963,0.3585,20.67
0.7441,0.6067,0.6881,34.4
0.1,0.191,0.1029,19.36
0.7497,0.5915,0.6503,42.6
0.5017,0.3957,0.4401,25.54
0.95,0.8637,0.9186,55.54
0.7842,0.7547,0.831,47.44
0.3565,0.4669,0.3062,28.42
0.4045,0.3818,0.4025,28.89
0.7725,0.6521,0.7365,43.59
0.6038,0.5557,0.5696,33.15
0.7755,0.6368,0.5918,37.43
0.95,0.8844,0.95,59.02
0.5797,0.4994,0.6143,29.27
0.644,0.5497,0.6852,38.02
0.6838,0.6056,0.6678,42.96
0.6652,0.5667,0.6919,38.43
0.6423,0.5435,0.6173,35.97
0.9253,0.8017,0.8719,47.81
0.8117,0.5942,0.7755,45.14
0.3863,0.3288,0.3705,29.34
0.7097,0.5996,0.5609,29.94
0.95,0.739,0.95,58.02
0.6765,0.5354,0.6104,40.06
0.5836,0.546,0.5387,37.43
0.6328,0.3051,0.6212,21.88
0.1,0.1,0.1,10.63
0.3536,0.2621,0.3603,18.34
0.2951,0.212,0.2708,18.96
0.6442,0.5545,0.5818,32.79
0.2099,0.1452,0.2032,15.44
0.4377,0.3449,0.4144,31.2
0.95,0.95,0.95,59.42
0.4234,0.3555,0.3865,24.2
0.7645,0.7412,0.7767,48.54
0.7065,0.6616,0.6694,42.7
0.5541,0.4694,0.5856,35.21
0.3351,0.1882,0.249,17.91
0.7562,0.6705,0.7232,39.24
0.3354,0.1998,0.3515,24.18
0.3547,0.4437,0.3701,29.21
0.95,0.8632,0.7705,53.06
0.3097,0.1525,0.1771,15.09
0.3387,0.3282,0.2754,28.67
0.7818,0.71,0.7208,45.7
0.2183,0.2065,0.2317,16.78
0.5255,0.5744,0.5001,36.57
0.4808,0.3901,0.4351,26.09
0.9438,0.8322,0.9075,49.69
0.7771,0.5769,0.6773,35.0
0.3426,0.4702,0.2932,29.98
0.7897,0.6557,0.7509,43.13
0.9421,0.7648,0.95,52.44
0.1806,0.3399,0.189,22.09
0.5342,0.4056,0.4888,27.97
0.2988,0.2649,0.2818,21.32
0.296,0.2593,0.2928,20.34
0.7995,0.5309,0.5559,41.82
0.7253,0.6288,0.7198,44.48
0.929,0.7808,0.6852,53.27
0.3513,0.3045,0.3146,22.0
0.4004,0.2941,0.4295,30.12
0.8559,0.6928,0.8349,38.71
0.6066,0.5433,0.5569,40.53
0.7723,0.612,0.7688,47.99
0.6736,0.5722,0.6456,39.43
0.52,0.3989,0.3924,27.5
0.4546,0.4246,0.4426,28.57
0.6643,0.5656,0.5988,33.52
0.634,0.4642,0.5706,38.72
0.346,0.3314,0.3348,26.18
0.8105,0.6862,0.7625,47.39
0.95,0.8559,0.8357,56.81
0.6702,0.5412,0.649,41.68
0.5972,0.5377,0.4963,28.3
0.2946,0.2361,0.2857,19.48
0.2094,0.1597,0.1,9.7
0.1704,0.1933,0.1809,16.39
0.7209,0.4985,0.6271,40.25
0.95,0.8398,0.771,46.79
0.6434,0.491,0.5708,29.34
0.3938,0.3054,0.3027,21.35
0.8779,0.6999,0.8183,38.15
0.95,0.8509,0.9412,55.96
0.1994,0.1104,0.2193,17.43
0.2772,0.2422,0.2736,19.11
0.1593,0.1,0.1161,12.8
0.8339,0.6127,0.8075,48.12
0.8843,0.7706,0.8512,46.96
0.7794,0.4932,0.7101,34.36
0.5208,0.4576,0.4238,34.87
0.3905,0.3209,0.3266,22.64
0.2969,0.4062,0.4084,26.61
0.2673,0.2122,0.2536,19.33
0.5826,0.5191,0.5473,34.6
0.4822,0.4908,0.4383,33.06
0.6928,0.622,0.5839,44.13
0.7457,0.5637,0.7126,35.29
0.8383,0.7453,0.7917,51.22
0.4014,0.3265,0.3635,23.51
0.2004,0.1461,0.1,12.51
0.7981,0.6976,0.7826,45.69
0.4483,0.3293,0.3271,21.79
0.7056,0.6197,0.633,48.85
0.3341,0.2629,0.3266,20.01
0.2116,0.1855,0.2342,15.12
0.9325,0.7313,0.9232,57.0
0.4886,0.3948,0.4442,32.1
0.4745,0.4077,0.4462,25.49
0.4115,0.4582,0.4143,31.6
0.6174,0.529,0.5667,37.36
0.7668,0.6302,0.6621,42.02
0.4904,0.4944,0.4569,33.75
0.8737,0.5731,0.7213,41.55
0.8928,0.7547,0.8232,42.85
0.365,0.3112,0.2655,20.37
0.1394,0.1041,0.1496,13.84
0.4687,0.3032,0.3808,32.05
0.3828,0.2208,0.312,29.52
0.4173,0.3759,0.4001,24.71
0.4188,0.4854,0.4382,34.85
0.3624,0.3636,0.3991,24.21
0.2804,0.3263,0.1673,17.91
0.7067,0.556,0.6896,35.32
0.4815,0.3667,0.4705,30.58
0.4528,0.4966,0.4134,24.82
0.4733,0.396,0.4373,30.38
0.1481,0.1759,0.1384,15.18
0.3795,0.2935,0.3246,20.82
0.2702,0.2569,0.2972,24.7
0.6265,0.5107,0.5097,31.05
0.1398,0.2934,0.1368,20.19
0.3321,0.2745,0.3324,20.56
0.113,0.1665,0.1969,18.66
0.8545,0.6248,0.742,46.0
0.8105,0.7664,0.657,39.58
0.8215,0.7449,0.7491,55.62
0.1,0.1135,0.1,12.84
0.3972,0.3338,0.3374,22.79
0.326,0.309,0.3177,22.41
0.9065,0.7777,0.725,51.3
0.7838,0.5945,0.6221,34.76
0.2626,0.1759,0.1817,14.86
0.8604,0.7815,0.8176,49.86
0.95,0.9276,0.95,57.35
0.7399,0.6261,0.7476,40.99
0.5144,0.3666,0.5209,32.4
0.6046,0.4922,0.5343,24.74
0.4561,0.4552,0.4899,35.87
0.8063,0.6046,0.7856,38.13
0.95,0.8694,0.95,59.58
0.7,0.5561,0.5425,40.1
0.95,0.7697,0.95,59.32
0.4143,0.3937,0.2497,31.32
0.6299,0.5903,0.6115,36.92
0.6583,0.538,0.5878,32.69
0.6237,0.5616,0.5257,38.62
0.1983,0.1115,0.1,11.44
0.4285,0.3722,0.4305,22.3
0.6768,0.7343,0.5414,38.95
0.9418,0.7179,0.8296,49.42
0.8652,0.7612,0.6952,49.89
0.7805,0.4796,0.702,29.3
0.5162,0.4582,0.5148,29.94
